index,delay,distance,gamma,latsrc,lattgt,lonsrc,lontgt,theta,uvector,vvector
0,1,2.236267207405519,0.0277565,5152123.1748442445,5156838.507579603,-9756596.770576466,-9757709.965484396,-1.3389613040377886,-0.006377439988596363,0.02701391403410198
1,20,1.8655191746299264,0.0397471,5152796.6511410745,5156838.507579603,-9757709.965484396,-9757709.965484396,1.5707963267948966,-2.433807939519488e-18,0.0397471
2,6,2.444073799613298,0.0350102,5160545.048012268,5156838.507579603,-9761494.828171365,-9757709.965484396,-0.7749435930661484,0.025013405058638676,-0.024495788850585502
3,4,2.8450668599938793,0.032169,5150776.364818163,5156838.507579603,-9756596.770576466,-9757709.965484396,-1.3891889681975387,-0.005810066608512543,0.0316399697693384
4,18,0.6302706415310797,0.044354500000000005,5155491.031807124,5156838.507579603,-9757487.326502806,-9757709.965484396,-1.4070490197400687,-0.007230516374873048,0.043761184892581385
5,2,3.2744258812154388,0.0356436,5163578.744319302,5156838.507579603,-9759936.355300263,-9757709.965484396,-1.2517662637467255,0.01117946238164988,-0.033845026840250474
6,20,2.2677405200256424,0.03911969999999999,5146400.544093489,5142026.727452338,-9764834.412895164,-9762608.023079298,-1.0999533959727101,0.01774616896389671,-0.03486293755831297
7,17,2.269021585334001,0.0264445,5142363.103803086,5142026.727452338,-9767506.080674201,-9762608.023079298,-0.06856779780986164,0.02638235937656174,-0.0018118206246603983
8,7,1.5691322708702358,0.0503054,5140681.340444658,5142026.727452338,-9765724.96882151,-9762608.023079298,0.4074782200065843,0.04618655032918089,0.019935792882402256
9,15,0.9825224347003076,0.036913800000000004,5140008.717959084,5142026.727452338,-9763275.94002406,-9762608.023079298,1.2511669793830522,0.011598858683357516,0.03504418793014759
10,13,3.2324184862209995,0.026360200000000004,5144718.069916708,5142026.727452338,-9769064.55354531,-9762608.023079298,-0.39493910706178215,0.024330991665692175,-0.010142139251855012
11,14,2.3409573760289764,0.0317187,5147073.616764082,5142026.727452338,-9762162.745116124,-9762608.023079298,1.4827959918770113,-0.0027876550090560636,-0.03159596349599874
12,1,2.897737656800908,0.0468349,5142699.491996069,5142026.727452338,-9768841.914563721,-9762608.023079298,-0.1075044037727677,0.046564520474075874,-0.005025265269552322
13,9,3.4272953051257447,0.025818400000000002,5143035.892032646,5142026.727452338,-9769955.109471655,-9762608.023079298,-0.13650158883861582,0.02557824020831646,-0.0035133184321469078
14,2,2.0080171102862483,0.026206999999999998,5145054.54104323,5142026.727452338,-9765724.96882151,-9762608.023079298,-0.7708937872370302,0.018797971494401152,-0.018260424877194988
15,10,0.9461489077625762,0.051336599999999996,5141017.669439986,5142026.727452338,-9764389.13493199,-9762608.023079298,0.5154475569010826,0.044666548388130556,0.0253050578867307
16,11,3.3829193401074864,0.0494105,5143708.727641975,5142026.727452338,-9755483.575668527,-9762608.023079298,0.23184325518232132,-0.0480884983768374,-0.011353142036938798
17,4,2.2637295682915277,0.0368708,5142026.727452338,5142026.727452338,-9767506.080674201,-9762608.023079298,0.0,0.0368708,0.0
18,0,1.059757462430356,0.0579941,5140345.023284809,5142026.727452338,-9764166.495950405,-9762608.023079298,0.823412114592894,0.03941989390583542,0.042536896916238257
19,8,2.506429806463144,0.0342279,5147410.170890487,5142026.727452338,-9761940.10613454,-9762608.023079298,1.4473583882194914,-0.00421430020009265,-0.03396746696816674
20,14,1.131097099750639,0.0288989,5147410.170890487,5149766.382002468,-9768619.275582135,-9767951.358637378,1.2945721016714105,0.007881451296862766,0.0278034017103156
21,0,2.653988755868723,0.0273351,5144381.610641891,5149766.382002468,-9769955.109471655,-9767951.358637378,1.214557915679917,0.00953315139355509,0.025618874224242538
